textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2010-12/31/2010), Quarter 3 (07/01/2010-09/30/2010), Quarter 2 (04/01/2010-06/30/2010), Quarter 1 (01/01/2010-03/31/2010)",All,All,All,2/16/2026 3:20:38 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2010,Commercial Residential - Allied Lines (Condo Associations Only),"6,721",67,190,0,23,317,30,"56,606,178,891","205,032,673","6,691","310,677,428","204,500,170","532,503",0,0,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Commercial Residential - Allied Lines (Excl Condo Associations),"7,609",106,178,0,22,164,38,"11,910,532,418","50,566,871","7,571","240,846,654","50,027,462","539,409",0,1,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Commercial Residential - CMP (Condo Associations Only),"7,662",349,592,0,0,"1,033","2,408","70,469,545,818","358,844,935","5,254","17,758,393,838","338,035,783","20,809,153",1,1,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Commercial Residential - CMP (Excl Condo Associations),"72,522","1,529",315,0,0,437,"7,875","21,025,327,026","117,089,414","64,647","1,937,072,587","78,976,833","38,112,581",3,10,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Commercial Residential - Dwelling/Fire (Condo Associations Only),"6,447",219,576,0,0,507,294,"55,689,067,779","265,278,135","6,153","1,722,637,400","262,303,923","2,974,212",0,0,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,652",105,126,0,0,213,180,"13,701,852,782","59,550,849","3,472","715,826,863","58,758,112","792,738",0,0,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Personal Residential - Allied Lines,"310,861","11,927","21,042",0,0,"26,911","1,522","117,608,962,772","508,413,378","309,339","2,271,498,444","501,884,853","6,528,525",0,0,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Personal Residential - Condominium Unit Owners,"795,448","27,241","22,566",4,"2,048","52,592","90,132","73,559,252,984","558,266,544","705,316","15,098,614,269","500,880,702","57,385,842","4,406","5,139",,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Personal Residential - Dwelling/Fire,"622,696","22,259","17,588",0,653,"48,975","50,370","120,191,167,520","619,501,070","572,326","13,907,537,188","577,581,550","41,919,520","15,796","15,718",,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Personal Residential - Farmowners,"2,901",45,45,0,0,61,4,"1,340,160,900","6,941,739","2,897","2,139,907","6,934,128","7,611",9,9,,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
Period Ending  3/31/2010,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"3,506,981","110,636","60,626",5,"3,026","171,200","210,433","1,557,635,573,649","6,013,525,872","3,296,548","147,879,595,115","5,718,994,478","294,531,394","19,548","20,910",,,,,,,,,,,,,,,,"6,050,632","219,596","137,477",10,"5,778","364,459","382,252","2,141,712,483,254","9,225,352,138","5,668,380","203,129,282,725","8,753,943,068","471,409,070","41,799","43,722",,,,,,,,,,,,,,,
