textbox14,textbox79,textbox83,textbox81,textbox48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quarter 4 (10/01/2019-12/31/2019), Quarter 3 (07/01/2019-09/30/2019), Quarter 2 (04/01/2019-06/30/2019), Quarter 1 (01/01/2019-03/31/2019)",All,All,All,2/15/2026 4:05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2019,Commercial Residential - (Apartment Buildings) - WIND ONLY,1122,58,8,0,0,10,0,943188259,8084713,1122,0,8084713,0,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - (Condo Associations Only) - WIND ONLY,1670,115,14,0,0,29,0,5033158550,25372172,1670,0,25372172,0,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - (Homeowners Association) - WIND ONLY,126,20,0,0,0,29,0,356617315,1808882,126,0,1808882,0,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Allied Lines (Condo Associations Only),732,0,13,0,0,30,0,6845426343,179823686,732,0,179823686,0,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Allied Lines (Excl Condo Associations),312,22,50,0,0,11,2,774180885,3669739,310,402874,3669281,458,2,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - CMP (Condo Associations Only),1679,38,74,0,0,95,567,19221790836,78454421,1112,2154236023,75419261,3035160,44,41,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - CMP (Excl Condo Associations),9202,258,248,0,0,678,773,2314922685,20067513,8429,518878664,18254002,1813511,6,5,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Dwelling/Fire (Condo Associations Only),5296,251,12,0,0,248,20,50865328928,153525099,5276,73376458,153410715,114384,11,9,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Dwelling/Fire (Excl Condo Associations),1024,54,16,0,0,44,36,10242369272,25931014,988,50551431,25726708,204306,2,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Allied Lines,59143,2310,1320,0,0,3208,12197,8084779805,97702308,46946,6557651522,73113754,24588554,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,11534,534,76,0,0,475,0,4140547699,30760983,11534,0,30760983,0,0,14,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Condominium Unit Owners,799842,23557,11615,0,88,37946,84460,89641217319,800876799,715382,18201791496,728268161,72608638,2266,2263,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Condominium Unit Owners - WIND ONLY,30729,988,351,0,0,471,0,4644513825,32012172,30729,0,32012172,0,71,83,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire,675215,27283,8030,0,11,35064,38772,149957748242,870530406,636443,10690638085,839053472,31476933,8863,8860,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire - Mobile Homeowners,68652,2737,1080,0,0,1922,5964,3360017375,41961414,62688,273491073,40615651,1345763,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,292,23,1,0,0,11,0,10237760,320683,292,0,320683,0,0,0,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Farmowners,2534,59,25,0,0,78,11,1466634321,10885807,2523,8056638,10834711,51096,27,27,,,,,,,,,,,,,,,,5762326,242046,66716,1,232,318408,261754,1865210113225,9412486549,5500572,129597825451,9082293881,330192668,22992,23078,,,,,,,,,,,,,,,
